STATE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,TWAY_ID,SCH_BUS,RAIL,FATALS,DRUNK_DR
1,1,0,8,115,1,1,I-59,0,0,2,0
1,2,0,2,55,1,5,US-SR 74,0,0,1,0
1,1,0,1,89,1,1,OAKWOOD AVE,0,0,1,0
1,1,0,3,73,1,1,JEFFERSON AVE SW,0,0,2,0
1,2,0,3,125,1,1,I-359,0,0,1,0
1,2,0,3,97,1,3,GOVERNMENT ST,0,0,1,0
1,1,0,1,95,1,6,SR-205,0,0,1,0
1,2,0,2,49,1,2,SR-75,0,0,1,0
1,1,0,1,17,1,7,CR-267,0,0,1,1
1,2,0,4,51,1,7,SR-14,0,0,1,0
1,2,0,3,1,1,7,US-SR 31,0,0,1,1
1,1,1,1,9,1,2,US-SR 53,0,0,1,0
1,1,0,2,43,1,2,I-65,0,0,1,0
1,1,0,1,95,1,2,CR-UNION CHAPEL ROAD,0,0,1,0
1,1,0,1,115,1,4,US-SR 25,0,0,1,1
1,2,0,3,19,1,5,SR-35,0,0,1,0
1,2,0,2,7,1,5,CR-24,0,0,1,0
1,2,0,2,81,1,6,SR-169,0,0,1,0
1,1,0,1,89,1,1,PULASKI PIKE,0,0,1,0
1,1,0,1,21,1,2,CR-61,0,0,1,1
1,1,0,1,69,1,3,SR-53,0,0,1,1
1,1,0,1,101,1,3,US-SR 53,0,0,1,0
1,1,0,1,63,1,4,SR-39,0,0,1,0
1,2,0,3,117,1,4,CR-26,0,0,1,0
1,1,0,1,33,1,5,CR-21,0,0,1,0
1,2,0,3,117,1,7,CR-17,0,0,1,0
1,1,0,1,47,1,7,CR-19,0,0,1,1
1,1,0,1,123,1,2,US-SR 38,0,0,1,0
1,2,1,2,33,1,5,SR-133,0,0,1,0
1,3,0,7,101,1,3,US-SR 6,0,0,1,0
1,1,0,2,89,1,7,CR-BOB WADE,0,0,1,1
1,1,0,1,131,1,6,CR-29,0,0,1,1
1,1,0,2,1,1,7,CR-85,0,0,2,0
